COMMAND     PID     USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
condor_st  5957 cmsprod7   13u  IPv4 55439575      0t0  TCP cms-a008.rcac.purdue.edu:48544->cmssrv119.fnal.gov:9780 (ESTABLISHED)
condor_ma  6044  cms1353    7u  IPv4 53335392      0t0  TCP *:54153 (LISTEN)
condor_ma  6044  cms1353    8u  IPv4 53335404      0t0  TCP cms-a008.rcac.purdue.edu:56337->glidein-collector-2.t2.ucsd.edu:9874 (ESTABLISHED)
condor_ma  6044  cms1353   10u  IPv4 53335421      0t0  TCP cms-a008.rcac.purdue.edu:59482->glidein-collector.t2.ucsd.edu:9874 (ESTABLISHED)
condor_ma  6044  cms1353   11u  IPv4 53335843      0t0  TCP cms-a008.rcac.purdue.edu:56971->glidein-collector-2.t2.ucsd.edu:9874 (ESTABLISHED)
condor_ma  6044  cms1353   14u  IPv4 55445388      0t0  TCP cms-a008.rcac.purdue.edu:43806->glidein-collector.t2.ucsd.edu:9874 (CLOSE_WAIT)
condor_st  6049  cms1353    6u  IPv4 53335540      0t0  TCP cms-a008.rcac.purdue.edu:57644->glidein-collector-2.t2.ucsd.edu:9874 (ESTABLISHED)
condor_st  6049  cms1353    8u  IPv4 53335580      0t0  TCP cms-a008.rcac.purdue.edu:54809->glidein-collector.t2.ucsd.edu:9874 (ESTABLISHED)
condor_st  6049  cms1353   10u  IPv4 54456062      0t0  TCP cms-a008.rcac.purdue.edu:48016->glidein-collector-2.t2.ucsd.edu:9874 (ESTABLISHED)
condor_st  6049  cms1353   11u  IPv4 53335499      0t0  TCP *:51351 (LISTEN)
condor_st  6049  cms1353   12u  IPv4 53365891      0t0  TCP localhost:55167->localhost:56957 (ESTABLISHED)
condor_st  7542   condor    7u  IPv4 53294527      0t0  TCP cms-a008.rcac.purdue.edu:erunbook_server->cmstest1.rcac.purdue.edu:41668 (ESTABLISHED)
condor_st  7542   condor   36u  IPv4 53294555      0t0  TCP localhost:52837->localhost:46972 (ESTABLISHED)
xrootd     8005   xrootd    8u  IPv6 52930711      0t0  TCP cms-a008.rcac.purdue.edu:47980->cms-g003.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   14u  IPv4 47462387      0t0  TCP *:rootd (LISTEN)
xrootd     8005   xrootd   20u  IPv6 55477639      0t0  TCP cms-a008.rcac.purdue.edu:50002->cms-120.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   22u  IPv4 47462421      0t0  UDP *:59303 
xrootd     8005   xrootd   24u  IPv4 47462431      0t0  UDP *:34000 
xrootd     8005   xrootd   25u  IPv6 50634701      0t0  TCP cms-a008.rcac.purdue.edu:52340->cms-e003.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   27u  IPv6 52825855      0t0  TCP cms-a008.rcac.purdue.edu:37316->cms-g002.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   28u  IPv6 55219602      0t0  TCP cms-a008.rcac.purdue.edu:41568->cms-c006.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   29u  IPv6 49111782      0t0  TCP cms-a008.rcac.purdue.edu:45840->cms-e003.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   30u  IPv6 55015500      0t0  TCP cms-a008.rcac.purdue.edu:51766->cms-c002.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   32u  IPv6 49327236      0t0  TCP cms-a008.rcac.purdue.edu:filenet-obrok->cms-c000.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   33u  IPv6 49911018      0t0  TCP cms-a008.rcac.purdue.edu:60048->cms-173.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   39u  IPv6 50165060      0t0  TCP cms-a008.rcac.purdue.edu:55793->cms-c002.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   46u  IPv6 54409077      0t0  TCP cms-a008.rcac.purdue.edu:54521->cms-g000.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   87u  IPv6 49581373      0t0  TCP cms-a008.rcac.purdue.edu:60582->cms-f003.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   88u  IPv6 50080932      0t0  TCP cms-a008.rcac.purdue.edu:38463->cms-c001.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   90u  IPv6 49539054      0t0  TCP cms-a008.rcac.purdue.edu:51796->cms-f001.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   91u  IPv6 55489839      0t0  TCP cms-a008.rcac.purdue.edu:56284->cms-a014.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   92u  IPv6 50480828      0t0  TCP cms-a008.rcac.purdue.edu:46082->cms-c003.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   93u  IPv6 54891752      0t0  TCP cms-a008.rcac.purdue.edu:40389->cms-c005.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   94u  IPv6 47505246      0t0  TCP cms-a008.rcac.purdue.edu:47521->cms-158.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   95u  IPv6 55050820      0t0  TCP cms-a008.rcac.purdue.edu:45333->cms-b005.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   96u  IPv6 52208864      0t0  TCP cms-a008.rcac.purdue.edu:48198->cms-g003.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   97u  IPv6 51255432      0t0  TCP cms-a008.rcac.purdue.edu:40471->cms-g000.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   98u  IPv6 50442440      0t0  TCP cms-a008.rcac.purdue.edu:39800->cms-b003.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd   99u  IPv6 51121237      0t0  TCP cms-a008.rcac.purdue.edu:41174->cms-f003.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  100u  IPv6 51979748      0t0  TCP cms-a008.rcac.purdue.edu:50281->cms-d001.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  101u  IPv6 47637986      0t0  TCP cms-a008.rcac.purdue.edu:41315->cms-c007.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  102u  IPv6 51747123      0t0  TCP cms-a008.rcac.purdue.edu:37075->cms-c000.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  103u  IPv6 51797599      0t0  TCP cms-a008.rcac.purdue.edu:52619->cms-a011.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  104u  IPv6 51334274      0t0  TCP cms-a008.rcac.purdue.edu:52870->cms-g002.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  105u  IPv6 51587508      0t0  TCP cms-a008.rcac.purdue.edu:36211->cms-b008.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  106u  IPv6 50827873      0t0  TCP cms-a008.rcac.purdue.edu:59344->cms-b012.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  107u  IPv6 55450393      0t0  TCP cms-a008.rcac.purdue.edu:57535->cms-g000.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  108u  IPv6 53552493      0t0  TCP cms-a008.rcac.purdue.edu:39120->cms-a030.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  109u  IPv6 52053744      0t0  TCP cms-a008.rcac.purdue.edu:50664->cms-b005.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  110u  IPv6 52094401      0t0  TCP cms-a008.rcac.purdue.edu:38392->cms-a013.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  111u  IPv6 48825860      0t0  TCP cms-a008.rcac.purdue.edu:42222->cms-a002.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  112u  IPv6 55518266      0t0  TCP cms-a008.rcac.purdue.edu:58789->cms-b000.rcac.purdue.edu:50010 (ESTABLISHED)
xrootd     8005   xrootd  113u  IPv6 54935969      0t0  TCP cms-a008.rcac.purdue.edu:45114->cms-b012.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  114u  IPv6 54920557      0t0  TCP cms-a008.rcac.purdue.edu:55147->cms-f003.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  115u  IPv6 51545565      0t0  TCP cms-a008.rcac.purdue.edu:38850->cms-b012.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  116u  IPv6 55178105      0t0  TCP cms-a008.rcac.purdue.edu:47895->cms-c007.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  117u  IPv6 52434486      0t0  TCP cms-a008.rcac.purdue.edu:54185->cms-f000.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  118u  IPv6 51346682      0t0  TCP cms-a008.rcac.purdue.edu:49579->cms-b012.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  119u  IPv6 55518273      0t0  TCP cms-a008.rcac.purdue.edu:34712->cms-a005.rcac.purdue.edu:50010 (ESTABLISHED)
xrootd     8005   xrootd  120u  IPv6 51342295      0t0  TCP cms-a008.rcac.purdue.edu:48718->cms-c004.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  121u  IPv6 54970670      0t0  TCP cms-a008.rcac.purdue.edu:49235->cms-a023.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  122u  IPv6 49175790      0t0  TCP cms-a008.rcac.purdue.edu:44390->cms-a019.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  123u  IPv6 50798250      0t0  TCP cms-a008.rcac.purdue.edu:39104->cms-d000.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  124u  IPv6 55518261      0t0  TCP cms-a008.rcac.purdue.edu:44855->cms-b011.rcac.purdue.edu:50010 (ESTABLISHED)
xrootd     8005   xrootd  125u  IPv6 48113124      0t0  TCP cms-a008.rcac.purdue.edu:57268->cms-b007.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  126u  IPv6 54123630      0t0  TCP cms-a008.rcac.purdue.edu:60716->cms-b012.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  127u  IPv6 53555340      0t0  TCP cms-a008.rcac.purdue.edu:41782->cms-c002.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  128u  IPv6 51953076      0t0  TCP cms-a008.rcac.purdue.edu:46880->cms-f000.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  129u  IPv6 55444234      0t0  TCP cms-a008.rcac.purdue.edu:37286->cms-174.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  130u  IPv6 55029877      0t0  TCP cms-a008.rcac.purdue.edu:39696->cms-b003.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  131u  IPv6 47498261      0t0  TCP cms-a008.rcac.purdue.edu:43417->cms-b006.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  132u  IPv6 47505916      0t0  TCP cms-a008.rcac.purdue.edu:37685->cms-c005.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  133u  IPv6 47687229      0t0  TCP cms-a008.rcac.purdue.edu:39828->cms-b012.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  134u  IPv6 55494276      0t0  TCP cms-a008.rcac.purdue.edu:33640->cms-c004.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  135u  IPv6 51809767      0t0  TCP cms-a008.rcac.purdue.edu:48841->cms-d000.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  136u  IPv6 51487978      0t0  TCP cms-a008.rcac.purdue.edu:41310->cms-b009.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  137u  IPv4 47463738      0t0  TCP cms-a008.rcac.purdue.edu:rootd->se1.hep.kbfi.ee:41131 (ESTABLISHED)
xrootd     8005   xrootd  138u  IPv6 50634570      0t0  TCP cms-a008.rcac.purdue.edu:43263->cms-c002.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  139u  IPv6 48041217      0t0  TCP cms-a008.rcac.purdue.edu:38425->cms-f000.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  140u  IPv6 54599901      0t0  TCP cms-a008.rcac.purdue.edu:60440->cms-c003.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  141u  IPv6 52973416      0t0  TCP cms-a008.rcac.purdue.edu:41892->cms-f000.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  143u  IPv6 51093364      0t0  TCP cms-a008.rcac.purdue.edu:48228->cms-c009.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  144u  IPv6 50441493      0t0  TCP cms-a008.rcac.purdue.edu:51973->cms-c005.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  145u  IPv6 55518267      0t0  TCP cms-a008.rcac.purdue.edu:41639->cms-084.rcac.purdue.edu:50010 (ESTABLISHED)
xrootd     8005   xrootd  146u  IPv6 51310201      0t0  TCP cms-a008.rcac.purdue.edu:35248->cms-180.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  147u  IPv6 55450192      0t0  TCP cms-a008.rcac.purdue.edu:55174->cms-b000.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  148u  IPv6 55284236      0t0  TCP cms-a008.rcac.purdue.edu:37091->cms-b005.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  149u  IPv6 54841461      0t0  TCP cms-a008.rcac.purdue.edu:48719->cms-f003.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  150u  IPv6 51326378      0t0  TCP cms-a008.rcac.purdue.edu:51404->cms-a012.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  151u  IPv6 53032839      0t0  TCP cms-a008.rcac.purdue.edu:42303->cms-b005.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  152u  IPv6 50101223      0t0  TCP cms-a008.rcac.purdue.edu:35228->cms-b004.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  153u  IPv6 51369885      0t0  TCP cms-a008.rcac.purdue.edu:50275->cms-c005.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  154u  IPv6 50715486      0t0  TCP cms-a008.rcac.purdue.edu:60353->cms-b011.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  155u  IPv6 55450297      0t0  TCP cms-a008.rcac.purdue.edu:58763->cms-c002.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  156u  IPv6 49432153      0t0  TCP cms-a008.rcac.purdue.edu:36588->cms-c002.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  157u  IPv6 48076631      0t0  TCP cms-a008.rcac.purdue.edu:39382->cms-b010.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  158u  IPv6 53313054      0t0  TCP cms-a008.rcac.purdue.edu:56362->cms-c000.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  159u  IPv6 52321422      0t0  TCP cms-a008.rcac.purdue.edu:34659->cms-f003.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  160u  IPv6 55381556      0t0  TCP cms-a008.rcac.purdue.edu:57086->cms-c008.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  161u  IPv6 51084136      0t0  TCP cms-a008.rcac.purdue.edu:47410->cms-b010.rcac.purdue.edu:50010 (CLOSE_WAIT)
xrootd     8005   xrootd  162u  IPv6 55412674      0t0  TCP cms-a008.rcac.purdue.edu:33203->cms-b006.rcac.purdue.edu:50010 (CLOSE_WAIT)
