

OSG efficiency summary by Site & VO for  2017-04-23 - 2017-04-30 (midnight UTC - midnight UTC)
including all jobs that finished in that time period.
Wall Duration (Wall) is expressed in hours and rounded to the nearest hour. Wall
Duration is the duration between the instant the job started running
and the instant the job ended its execution.
Deltas are the differences with the previous period.
For all jobs finished between 2017-04-23 and 2017-04-30 (midnight UTC)
---------------------------------------------------------------------------------------------------------------------------------------------------------
  #   | Site                   | VO              |     Cores |     Njobs |     Delta |      Wall |      Delta | CpuToWall | Delta | %Effi | Delta
---------------------------------------------------------------------------------------------------------------------------------------------------------
  55  | Clemson-Palmetto       | glow            |         1 |         0 |      -170 |         0 |       -592 |      0.00 | -0.65 |     0 |   -65
  56  | Clemson-Palmetto       | glow            |         8 |         0 |      -157 |         0 |       -711 |      0.00 | -3.82 |     0 |   -48
  57  | Clemson-Palmetto       | osg             |         1 |         0 |       -44 |         0 |       -747 |      0.00 | -0.93 |     0 |   -93
  58  | Clemson-Palmetto       | osg             |         8 |         0 |       -32 |         0 |       -609 |      0.00 | -5.73 |     0 |   -72
  59  | Clemson-Palmetto       | sbgrid          |         1 |         0 |       -15 |         0 |       -157 |      0.00 | -0.96 |     0 |   -96
  60  | Clemson-Palmetto       | sbgrid          |         8 |         0 |        -8 |         0 |        -92 |      0.00 | -6.42 |     0 |   -80
  61  | FIFE_SUBMIT            | annie           |         1 |       498 |    -4,742 |   3,227.7 |      1,699 |      0.76 |  0.17 |    76 |    17
  62  | FIFE_SUBMIT            | cdf             |         1 |       210 |    -1,811 |     277.1 |    -13,073 |      0.89 | -0.02 |    89 |    -2
  63  | FIFE_SUBMIT            | cdms            |         1 |     1,575 |       -83 |  16,123.4 |        161 |      0.86 |  0.14 |    86 |    14
  64  | FIFE_SUBMIT            | darkside        |         1 |       198 |    -6,692 |     167.5 |    -14,113 |      0.32 | -0.15 |    32 |   -15
  65  | FIFE_SUBMIT            | des             |         1 |    12,017 |    -5,394 |  29,370.0 |      9,357 |      0.58 | -0.11 |    58 |   -11
  66  | FIFE_SUBMIT            | des             |         4 |         0 |    -3,422 |         0 |     -9,028 |      0.00 | -1.14 |     0 |   -28
  67  | FIFE_SUBMIT            | dune            |         1 |    20,921 |   -19,221 |  19,690.2 |    -13,183 |      0.88 |  0.09 |    88 |     9
  68  | FIFE_SUBMIT            | fermilab        |         1 |         0 |       -19 |         0 |          0 |      0.00 | -0.03 |     0 |    -3
  69  | FIFE_SUBMIT            | genie           |         1 |        28 |       -80 |      94.4 |       -208 |      0.47 | -0.26 |    47 |   -26
  70  | FIFE_SUBMIT            | gm2             |         1 |     6,522 |    -4,752 |  11,016.8 |     -4,275 |      0.90 |  0.09 |    90 |     9
  71  | FIFE_SUBMIT            | lariat          |         1 |     1,113 |    -9,756 |     794.5 |     -4,498 |      0.14 | -0.52 |    14 |   -52
  72  | FIFE_SUBMIT            | mars            |         1 |       768 |    -1,902 |  10,446.9 |    -32,116 |      0.86 | -0.09 |    86 |    -9
  73  | FIFE_SUBMIT            | microboone      |         1 |    46,219 |  -127,962 |  62,810.9 |   -136,350 |      0.44 | -0.34 |    44 |   -34
  74  | FIFE_SUBMIT            | minerva         |         1 |     9,685 |   -93,294 |  17,758.3 |    -91,434 |      0.94 |  0.16 |    94 |    16
  75  | FIFE_SUBMIT            | minos           |         1 |    69,992 |   -60,457 | 153,752.3 |   -170,639 |      0.98 |  0.00 |    98 |     0
  76  | FIFE_SUBMIT            | mu2e            |         1 |    10,329 |   -25,723 |  74,459.6 |     -3,203 |      0.93 | -0.04 |    93 |    -4
  77  | FIFE_SUBMIT            | nova            |         1 |    39,075 |   -56,380 | 131,099.7 |   -126,649 |      0.71 |  0.00 |    71 |     0
  78  | FIFE_SUBMIT            | seaquest        |         1 |     3,182 |       834 |  11,141.9 |      2,793 |      0.80 | -0.06 |    80 |    -6
  79  | FIU_HPCOSG_CE          | osg             |         1 |        78 |        32 |   1,840.6 |     -1,666 |      0.74 |  0.14 |    74 |    14
  80  | FLTECH                 | cms             |         1 |     1,393 |        82 |     477.1 |       -553 |      0.00 | -0.56 |     0 |   -56
  81  | FLTECH                 | glow            |         1 |     1,073 |    -3,011 |   4,731.7 |     -8,906 |      0.79 |  0.08 |    79 |     8
  82  | FLTECH                 | osg             |         1 |       119 |      -217 |   4,963.7 |     -7,770 |      0.61 | -0.17 |    61 |   -17
  83  | FNAL_GPGRID_4          | fermilab        |         8 |       822 |    -1,326 |  51,768.9 |    -90,532 |      5.49 |  0.07 |    69 |     1
  84  | FNAL_GPGRID_5          | des             |         1 |       360 |    -1,271 |   1,274.4 |       -670 |      1.00 |  0.50 |   100 |    50
  85  | FNAL_GPGRID_5          | des             |        30 |       147 |      -241 |   1,727.9 |     -2,763 |     19.29 |  0.19 |    64 |     0
  86  | FNAL_GPGRID_5          | fermilab        |         8 |     1,601 |      -991 | 119,501.8 |    -68,614 |      5.57 |  0.13 |    70 |     2
  87  | FNAL_WILSON            | aclcntrl (nr)   |         1 |        16 |         3 |      47.9 |         -2 |      0.98 |  0.02 |    98 |     2
  88  | FNAL_WILSON            | booster (nr)    |         1 |         6 |        -4 |       5.1 |         -3 |     11.44 | -0.11 | 1,144 |   -11
  89  | FNAL_WILSON            | booster (nr)    |         4 |        13 |       -50 |     170.2 |       -895 |    127.78 |  0.13 | 3,195 |     4
  90  | FNAL_WILSON            | cms-mt-tests (nr) |         1 |         0 |        -1 |         0 |          0 |      0.00 |  0.00 |     0 |     0
  91  | FNAL_WILSON            | desnnet (nr)    |         1 |         6 |       -20 |       1.4 |        -17 |      0.30 | -0.72 |    30 |   -72
  92  | FNAL_WILSON            | g4 (nr)         |         1 |         0 |        -1 |         0 |         -2 |      0.00 | -1.46 |     0 |  -146
  93  | FNAL_WILSON            | g4p (nr)        |         1 |         0 |        -7 |         0 |        -38 |      0.00 | -30.27 |     0 | -3,027
  94  | FNAL_WILSON            | genmc (nr)      |        24 |         0 |        -2 |         0 |          0 |      0.00 | -262.68 |     0 | -1,095
  95  | FNAL_WILSON            | iota (nr)       |         1 |         0 |        -7 |         0 |         -9 |      0.00 | -25.37 |     0 | -2,537
  96  | FNAL_WILSON            | iota (nr)       |         2 |        10 |         1 |      57.3 |         51 |     51.09 | -12.16 | 2,555 |  -607
  97  | FNAL_WILSON            | iota (nr)       |         4 |         4 |         0 |       2.2 |        -10 |     63.44 | -64.45 | 1,586 | -1,611
  98  | FNAL_WILSON            | iota (nr)       |         6 |         1 |         1 |      20.1 |         20 |    191.92 | 191.92 | 3,199 | 3,199
  99  | FNAL_WILSON            | iota (nr)       |         8 |         1 |         1 |         0 |          0 |      2.50 |  2.50 |    31 |    31
  100 | FNAL_WILSON            | iota (nr)       |        20 |         1 |         1 |       8.4 |          8 |    239.89 | 239.89 | 1,199 | 1,199
  101 | FNAL_WILSON            | lqcdg (nr)      |         1 |         0 |        -2 |         0 |        -16 |      0.00 |  0.00 |     0 |     0
  102 | FNAL_WILSON            | qcdloop (nr)    |         2 |         0 |        -2 |         0 |          0 |      0.00 | -61.60 |     0 | -3,080
  103 | FNAL_WILSON            | qcdloop (nr)    |        16 |         1 |         1 |      13.4 |         13 |    493.29 | 493.29 | 3,083 | 3,083
  104 | FNAL_WILSON            | qcdloop (nr)    |        20 |         3 |         3 |      13.8 |         13 |    235.67 | 235.67 | 1,178 | 1,178
  105 | FNAL_WILSON            | uslarp (nr)     |         2 |         0 |       -10 |         0 |       -164 |      0.00 | -63.97 |     0 | -3,198
  106 | FNAL_WILSON            | uslarp (nr)     |         3 |         1 |        -2 |      13.3 |         -2 |     35.98 |  0.01 | 1,199 |     0
  107 | FNAL_WILSON            | uslarp (nr)     |         4 |         0 |        -4 |         0 |        -27 |      0.00 | -127.91 |     0 | -3,198
  108 | FNAL_WILSON            | uslarp (nr)     |         6 |         0 |        -2 |         0 |        -43 |      0.00 | -71.97 |     0 | -1,199
  109 | FNAL_WILSON            | uslarp (nr)     |         8 |        10 |        -6 |      49.7 |        -53 |    165.78 | -64.22 | 2,072 |  -803
  110 | FNAL_WILSON            | uslarp (nr)     |        12 |        13 |         7 |      34.3 |        -27 |    143.88 | -0.05 | 1,199 |     0
  111 | FNAL_WILSON            | uslarp (nr)     |        16 |         2 |         2 |      11.4 |         11 |    511.60 | 511.60 | 3,197 | 3,197
  112 | FNAL_WILSON            | uslarp (nr)     |        24 |         0 |       -10 |         0 |       -123 |      0.00 | -287.85 |     0 | -1,199
  113 | FZU_NOVA               | nova            |         1 |     2,716 |    -4,445 | 129,437.5 |    -86,972 |      0.85 |  0.04 |    85 |     4
  114 | Fermilab-GlideinWMS-fifebatch1 | annie           |         1 |       214 |    -5,420 |     101.4 |     -2,505 |      0.93 |  0.24 |    93 |    24
  115 | Fermilab-GlideinWMS-fifebatch1 | cdf             |         1 |     2,165 |       861 |  19,295.6 |     13,808 |      0.97 |  0.04 |    97 |     4
  116 | Fermilab-GlideinWMS-fifebatch1 | cdms            |         1 |       684 |      -662 |   7,406.3 |     -6,529 |      0.76 | -0.02 |    76 |    -2
  117 | Fermilab-GlideinWMS-fifebatch1 | darkside        |         1 |     3,165 |      -979 |   2,426.3 |     -8,215 |      0.20 | -0.43 |    20 |   -43
  118 | Fermilab-GlideinWMS-fifebatch1 | des             |         1 |    15,395 |    -5,055 |  35,582.4 |     11,735 |      0.60 | -0.02 |    60 |    -2
  119 | Fermilab-GlideinWMS-fifebatch1 | des             |         4 |         0 |    -3,622 |         0 |     -9,981 |      0.00 | -1.20 |     0 |   -30
  120 | Fermilab-GlideinWMS-fifebatch1 | dune            |         1 |    25,613 |   -27,649 |  22,155.5 |     -3,294 |      0.95 |  0.12 |    95 |    12
  121 | Fermilab-GlideinWMS-fifebatch1 | fermilab        |         1 |        20 |        13 |       1.2 |         -4 |      0.00 |  0.00 |     0 |     0
