RecordID,@received,EndTime,ResourceType,ProbeName,Raw_SiteName,Host_description,Host,ResourceGroup,OIM_SiteName,SuccessfulMatch
sub-simprod.icecube.wisc.edu:4170.146,2017-02-04T02:19:29.455Z,2017-02-04T02:11:08Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,NPX,node086.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
xd-login.opensciencegrid.org:2081294.2996,2017-02-04T16:44:58.931Z,2017-02-04T16:26:51Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,GLOW,e304.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sub-simprod.icecube.wisc.edu:4170.148,2017-02-04T02:19:29.455Z,2017-02-04T02:10:17Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,NPX,node040.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
login01.osgconnect.net:357335.3798,2017-02-08T00:53:36.031Z,2017-02-08T00:39:27Z,Payload,condor:login01.osgconnect.net,OSG-Connect,NPX,c8-19.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
xd-login.opensciencegrid.org:899460.988,2017-02-07T15:27:01.403Z,2017-02-07T15:07:25Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,NPX,c9-8.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
sub-simprod.icecube.wisc.edu:26410.298,2017-02-08T00:29:42.895Z,2017-02-08T00:22:36Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,NPX,c8-10.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
login01.osgconnect.net:1396912.1082,2017-02-08T04:39:36.845Z,2017-02-08T04:35:34Z,Payload,condor:login01.osgconnect.net,OSG-Connect,NPX,gtx-22.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
sub-simprod.icecube.wisc.edu:26410.297,2017-02-08T00:29:42.895Z,2017-02-08T00:08:03Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,CHTC,e370.chtc.wisc.edu (primary) ,,CHTC,Success
login03.hep.wisc.edu:3830658.741,2017-02-04T10:26:32.547Z,2017-02-04T10:22:05Z,Payload,condor:login03.hep.wisc.edu,GLOW_SUBMIT3,GLOW_SUBMIT3,g20n02.hep.wisc.edu (primary) ,GLOW,GLOW,Success
login01.osgconnect.net:30764.7598,2017-02-08T00:18:18.648Z,2017-02-08T00:08:15Z,Payload,condor:login01.osgconnect.net,OSG-Connect,NPX,node074.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
sub-simprod.icecube.wisc.edu:28418.124,2017-02-04T04:28:31.178Z,2017-02-04T04:20:55Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,NPX,c8-18.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
login01.osgconnect.net:1178995.1725,2017-02-08T03:46:07.029Z,2017-02-08T03:42:14Z,Payload,condor:login01.osgconnect.net,OSG-Connect,NPX,node011.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
sub-simprod.icecube.wisc.edu:17000.116,2017-02-08T04:07:37.918Z,2017-02-08T04:01:44Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,NPX,c8-2.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
login02.osgconnect.net:1632611.397,2017-02-07T23:13:32.780Z,2017-02-07T23:01:30Z,Payload,condor:login02.osgconnect.net,OSG-Connect,NPX,c8-7.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
sub-simprod.icecube.wisc.edu:17000.112,2017-02-08T04:07:37.918Z,2017-02-08T04:01:52Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,NPX,c9-19.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
login01.osgconnect.net:1296073.964,2017-02-04T20:46:17.592Z,2017-02-04T20:44:55Z,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,e444.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sub-simprod-2.icecube.wisc.edu:90237.36,2017-02-08T04:58:11.441Z,2017-02-08T04:41:05Z,Payload,condor:sub-simprod-2.icecube.wisc.edu,WIPAC,GZK,gzk-6.chtc.wisc.edu (primary) ,,,Failure
login01.osgconnect.net:3681678.2385,2017-02-04T17:33:54.853Z,2017-02-04T17:28:02Z,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,e380.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sub-simprod-2.icecube.wisc.edu:15107.19,2017-02-07T04:39:09.001Z,2017-02-07T04:30:04Z,Payload,condor:sub-simprod-2.icecube.wisc.edu,WIPAC,GZK,gzk-3.chtc.wisc.edu (primary) ,,,Failure
login03.hep.wisc.edu:3914117.526,2017-02-04T10:39:12.923Z,2017-02-04T10:25:23Z,Payload,condor:login03.hep.wisc.edu,GLOW_SUBMIT3,GLOW_SUBMIT3,e210.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
csiu.grid.iu.edu:1176185.456,2017-02-05T04:56:05.460Z,2017-02-05T04:43:39Z,Payload,condor:csiu.grid.iu.edu,IU-CSIU,GLOW,g19n08.hep.wisc.edu (primary) ,GLOW,GLOW,Success
