#RecordID,ResourceType,ProbeName,Raw_SiteName,Host_description,Host,ResourceGroup,OIM_SiteName,SuccessfulMatch#
sub-1.icecube.wisc.edu:19323.83,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n11.hep.wisc.edu,g26n11.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:19323.88,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n11.hep.wisc.edu,g26n11.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:2102.219,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g27n08.hep.wisc.edu,g27n08.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:2102.48,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g31n33.hep.wisc.edu,g31n33.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:2102.55,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g29n25.hep.wisc.edu,g29n25.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:22658.117,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n29.hep.wisc.edu,g26n29.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:22658.131,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g31n35.hep.wisc.edu,g31n35.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:22658.141,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n11.hep.wisc.edu,g26n11.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:22658.149,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n11.hep.wisc.edu,g26n11.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:25961.22,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g31n31.hep.wisc.edu,g31n31.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:27988.494,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g31n60.hep.wisc.edu,g31n60.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:28720.78,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g31n35.hep.wisc.edu,g31n35.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:4006.504,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g31n35.hep.wisc.edu,g31n35.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:4709.36,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g31n35.hep.wisc.edu,g31n35.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:4709.42,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g29n25.hep.wisc.edu,g29n25.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:4709.58,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n11.hep.wisc.edu,g26n11.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:4709.66,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n11.hep.wisc.edu,g26n11.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:4709.89,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n11.hep.wisc.edu,g26n11.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:4709.98,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n11.hep.wisc.edu,g26n11.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:4812.114,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n29.hep.wisc.edu,g26n29.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:4812.31,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n29.hep.wisc.edu,g26n29.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:4812.65,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g31n35.hep.wisc.edu,g31n35.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:4812.73,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g31n31.hep.wisc.edu,g31n31.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:4812.98,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g31n31.hep.wisc.edu,g31n31.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:7271.107,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n29.hep.wisc.edu,g26n29.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:7271.12,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g26n11.hep.wisc.edu,g26n11.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:7271.144,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g29n25.hep.wisc.edu,g29n25.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:7271.15,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g31n35.hep.wisc.edu,g31n35.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:7271.70,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g29n25.hep.wisc.edu,g29n25.hep.wisc.edu (primary),,,Failure
sub-1.icecube.wisc.edu:7271.9,Payload,condor:sub-1.icecube.wisc.edu,WIPAC,g31n35.hep.wisc.edu,g31n35.hep.wisc.edu (primary),,,Failure
