      user	|     group	|     queue	|      cputime (Day:Hr:Min:Sec)	|    walltimes (Day:Hr:Min:Sec)	|        memory (in MB) | vmem (in MB) 
       aai	|      pucc	|   testpbs	|                   00:15:14:37	|                   00:00:37:34	|               13228  	|  21869.17 
  smehrotr	|       ece	|   ncn-par	|                   01:14:33:13	|                   00:01:38:51	|                6401  	|  17835.73 
        mr	|      xtal	|   standby	|                   00:00:28:05	|                   00:00:29:16	|                4989  	|   5768.62 
   burke52	|       chm	|     zwier	|                   28:17:14:22	|                   03:22:28:18	|                6219  	|   7714.30 
   cmsprio	|   cmsgrid	|       cms	|                   00:00:41:36	|                   00:01:07:08	|                 253  	|    448.87 
   cms0218	|  cmsgrid2	|       cms	|                   00:00:51:09	|                   00:00:57:34	|                 209  	|    417.33 
      zhuq	|   student	|      ebdl	|                   00:01:16:45	|                   00:00:55:33	|                  28  	|    103.29 
      chix	|       aae	|   tomshih	|                   79:15:21:33	|                   13:16:21:52	|               11896  	|  13889.50 
  cmsprod7	|   cmsgrid	|       cms	|                   00:02:56:48	|                   00:03:33:46	|                 233  	|    386.88 
    wang83	|      xtal	|        mr	|                   00:00:42:10	|                   00:01:37:03	|                5687  	|   6158.37 
  cmsprod1	|   cmsgrid	|       cms	|                   00:00:01:04	|                   00:00:08:53	|                  46  	|    981.72 
   atankas	|   student	|   ncn-par	|                   00:05:38:42	|                   00:01:14:09	|                9276  	|  13778.03 
  cmsprod3	|   cmsgrid	|       cms	|                   00:00:05:26	|                   00:00:29:07	|                 258  	|    425.11 
    wood67	|       mse	|       ncn	|                   11:10:13:47	|                   02:10:19:53	|                1596  	|  22871.27 
    ypinar	|   student	|      ml-a	|                   00:00:14:42	|                   00:02:04:48	|                 413  	|   1334.91 
  dmejiapa	|       ece	|   standby	|                   00:03:10:13	|                   00:02:51:52	|               28433  	|  36590.20 
       xni	|       ece	|  kildisha	|                   01:12:12:15	|                   00:20:02:08	|              146973  	| 183495.00 
     jkorn	|       chm	|     zwier	|                   00:19:01:14	|                   00:05:36:53	|                 215  	|   2425.76 
  hilatikh	|       ece	|   ncn-par	|                   00:00:20:08	|                   00:00:46:13	|               10706  	|  18863.02 
   chen926	|   student	|   standby	|                   00:19:26:09	|                   00:01:47:15	|                7206  	|  21258.70 
    liao46	|   student	|   standby	|                   00:01:44:08	|                   00:00:13:37	|                  51  	|    578.88 
   cms0897	|  cmsgrid8	|       cms	|                   00:00:00:10	|                   00:02:45:00	|                 158  	|    388.18 
