+----------------------------------------+------------+--------+------------+-------+-----------------+-------------------+--------------+
| del_JUR                                | Period     | Status | Processors | Njobs | CpuUserDuration | CpuSystemDuration | WallDuration |
+----------------------------------------+------------+--------+------------+-------+-----------------+-------------------+--------------+
| call del_JUR_from_Summary(1299500076); | 2014-04-14 | 0      |          1 |     1 |            1657 |                 0 |       389467 |
| call del_JUR_from_Summary(1299500077); | 2014-04-14 | 0      |          1 |     1 |            2008 |                 2 |       389690 |
| call del_JUR_from_Summary(1299500078); | 2014-04-14 | 0      |          1 |     1 |            1197 |                 2 |       387857 |
| call del_JUR_from_Summary(1299500079); | 2014-04-14 | 0      |          1 |     1 |            1103 |                 0 |       387942 |
| call del_JUR_from_Summary(1299500080); | 2014-04-14 | 0      |          1 |     1 |            1144 |                 1 |       387731 |
| call del_JUR_from_Summary(1299500081); | 2014-04-14 | 0      |          1 |     1 |            1578 |                 0 |       389472 |
| call del_JUR_from_Summary(1299500082); | 2014-04-14 | 0      |          1 |     1 |            1928 |                 0 |       390358 |
| call del_JUR_from_Summary(1299500083); | 2014-04-14 | 0      |          1 |     1 |            1757 |                 1 |       389584 |
| call del_JUR_from_Summary(1299500084); | 2014-04-14 | 0      |          1 |     1 |             719 |                 1 |       388023 |
| call del_JUR_from_Summary(1299500085); | 2014-04-14 | 0      |          1 |     1 |             541 |                 1 |       387418 |
| call del_JUR_from_Summary(1299500086); | 2014-04-14 | 0      |          1 |     1 |            1851 |                 1 |       389856 |
| call del_JUR_from_Summary(1299500087); | 2014-04-14 | 0      |          1 |     1 |             312 |                 0 |       387263 |
| call del_JUR_from_Summary(1299500088); | 2014-04-14 | 0      |          1 |     1 |            1658 |                 0 |       389277 |
| call del_JUR_from_Summary(1299500089); | 2014-04-14 | 0      |          1 |     1 |            1745 |                 0 |       389852 |
| call del_JUR_from_Summary(1299500090); | 2014-04-14 | 0      |          1 |     1 |            1387 |                 0 |       388115 |
| call del_JUR_from_Summary(1299500091); | 2014-04-14 | 0      |          1 |     1 |             989 |                 1 |       387610 |
| call del_JUR_from_Summary(1299500092); | 2014-04-14 | 0      |          1 |     1 |             867 |                 1 |       387645 |
| call del_JUR_from_Summary(1299500093); | 2014-04-14 | 0      |          1 |     1 |             949 |                 3 |       389859 |
| call del_JUR_from_Summary(1299500094); | 2014-04-14 | 0      |          1 |     1 |            1193 |                 1 |       388262 |
| call del_JUR_from_Summary(1299500095); | 2014-04-14 | 0      |          1 |     1 |             675 |                 0 |       387355 |
| call del_JUR_from_Summary(1299500096); | 2014-04-14 | 0      |          1 |     1 |            3677 |                 1 |       393097 |
| call del_JUR_from_Summary(1299500097); | 2014-04-14 | 0      |          1 |     1 |            1417 |                 1 |       388797 |
| call del_JUR_from_Summary(1299500098); | 2014-04-14 | 0      |          1 |     1 |            1141 |                 0 |       387766 |
| call del_JUR_from_Summary(1299500099); | 2014-04-14 | 0      |          1 |     1 |             850 |                 0 |       387716 |
| call del_JUR_from_Summary(1299500100); | 2014-04-14 | 0      |          1 |     1 |            1188 |                 0 |       388660 |
| call del_JUR_from_Summary(1299500101); | 2014-04-14 | 0      |          1 |     1 |            1307 |                 2 |       387869 |
| call del_JUR_from_Summary(1299500102); | 2014-04-14 | 0      |          1 |     1 |            1179 |                 0 |       388252 |
| call del_JUR_from_Summary(1299500103); | 2014-04-14 | 0      |          1 |     1 |             595 |                 0 |       387612 |
| call del_JUR_from_Summary(1299500104); | 2014-04-14 | 0      |          1 |     1 |             790 |                 0 |       387351 |
| call del_JUR_from_Summary(1299500105); | 2014-04-14 | 0      |          1 |     1 |             807 |                 0 |       387837 |
| call del_JUR_from_Summary(1299500106); | 2014-04-14 | 0      |          1 |     1 |             421 |                 0 |       387022 |
| call del_JUR_from_Summary(1299500107); | 2014-04-14 | 0      |          1 |     1 |             764 |                 0 |       387431 |
| call del_JUR_from_Summary(1299500108); | 2014-04-14 | 0      |          1 |     1 |             831 |                 0 |       387409 |
| call del_JUR_from_Summary(1299500109); | 2014-04-14 | 0      |          1 |     1 |            1020 |                 1 |       387644 |
| call del_JUR_from_Summary(1299500110); | 2014-04-14 | 0      |          1 |     1 |            1071 |                 0 |       391370 |
| call del_JUR_from_Summary(1299500111); | 2014-04-14 | 0      |          1 |     1 |            1473 |                 0 |       388990 |
| call del_JUR_from_Summary(1299500112); | 2014-04-14 | 0      |          1 |     1 |             742 |                 0 |       387504 |
| call del_JUR_from_Summary(1299500113); | 2014-04-14 | 0      |          1 |     1 |            1693 |                 0 |       389451 |
| call del_JUR_from_Summary(1299500114); | 2014-04-14 | 0      |          1 |     1 |             928 |                 0 |       387674 |
