[Sun Apr 02 03:41:07 2017] [notice] Digest: generating secret for digest authentication ...
[Mon Apr 03 23:40:29 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/blog
[Mon Apr 03 23:40:29 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/admin
[Mon Apr 03 23:40:29 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/php
[Mon Apr 03 23:40:29 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/database
[Mon Apr 03 23:40:30 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/phpmyadmin
[Mon Apr 03 23:40:30 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/web
[Mon Apr 03 23:40:30 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/phpMyAdmin2
[Mon Apr 03 23:40:30 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/php
[Mon Apr 03 23:40:30 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/admin
[Mon Apr 03 23:40:30 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/dbadmin
[Mon Apr 03 23:40:30 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/php
[Mon Apr 03 23:40:30 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/admin
[Mon Apr 03 23:40:30 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/db
[Mon Apr 03 23:40:31 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/database
[Mon Apr 03 23:40:31 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/admin
[Mon Apr 03 23:40:31 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/web
[Mon Apr 03 23:40:31 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/administrator
[Mon Apr 03 23:40:31 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/php
[Mon Apr 03 23:40:31 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/admn
[Mon Apr 03 23:40:31 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/admin
[Mon Apr 03 23:40:31 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/apache-default
[Mon Apr 03 23:40:31 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/php
[Mon Apr 03 23:40:31 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/blog
[Mon Apr 03 23:40:32 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/db
[Mon Apr 03 23:40:32 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/forum
[Mon Apr 03 23:40:32 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/admin
[Mon Apr 03 23:40:32 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/htdocs
[Mon Apr 03 23:40:32 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/administrator
[Mon Apr 03 23:40:32 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/httpdocs
[Mon Apr 03 23:40:32 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/admn
[Mon Apr 03 23:40:32 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/php
[Mon Apr 03 23:40:32 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/apache-default
[Mon Apr 03 23:40:32 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/php
[Mon Apr 03 23:40:33 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/blog
[Mon Apr 03 23:40:33 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/xampp
[Mon Apr 03 23:40:33 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/forum
[Mon Apr 03 23:40:33 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/websql
[Mon Apr 03 23:40:33 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/htdocs
[Mon Apr 03 23:40:33 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/httpdocs
[Mon Apr 03 23:40:33 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/php
[Mon Apr 03 23:40:34 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/php
[Mon Apr 03 23:40:34 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/xampp
[Mon Apr 03 23:40:34 2017] [error] [client 93.174.93.222] File does not exist: /var/www/html/websql
[Tue Apr 04 02:45:28 2017] [error] [client 150.183.234.176] File does not exist: /var/www/html/favicon.ico, referer: http://gratiaweb1.grid.iu.edu/gratiastatic/today/osg_wall_hours.png
[Tue Apr 04 03:27:53 2017] [error] [client 24.45.87.158] File does not exist: /var/www/html/phpMyAdmin
[Tue Apr 04 03:29:11 2017] [error] [client 24.45.87.158] File does not exist: /var/www/html/pma
[Tue Apr 04 03:30:29 2017] [error] [client 24.45.87.158] File does not exist: /var/www/html/myadmin
[Tue Apr 04 06:54:04 2017] [error] [client 66.102.9.60] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 11:27:07 2017] [error] [client 103.12.193.205] File does not exist: /var/www/html/phpMyAdmin
[Tue Apr 04 11:27:18 2017] [error] [client 103.12.193.205] File does not exist: /var/www/html/pma
[Tue Apr 04 11:27:29 2017] [error] [client 103.12.193.205] File does not exist: /var/www/html/myadmin
[Tue Apr 04 12:51:25 2017] [error] [client 198.181.231.228] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 12:51:25 2017] [error] [client 198.181.231.228] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 12:51:25 2017] [error] [client 198.181.231.228] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 12:51:25 2017] [error] [client 198.181.231.228] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 12:51:26 2017] [error] [client 198.181.231.228] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 12:51:26 2017] [error] [client 198.181.231.228] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 12:51:26 2017] [error] [client 198.181.231.228] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 12:51:26 2017] [error] [client 198.181.231.228] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 12:51:26 2017] [error] [client 198.181.231.228] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 12:51:26 2017] [error] [client 198.181.231.228] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 12:51:26 2017] [error] [client 198.181.231.228] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 12:51:27 2017] [error] [client 198.181.231.228] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 12:57:33 2017] [error] [client 189.122.217.115] File does not exist: /var/www/html/cgi
[Tue Apr 04 12:57:33 2017] [error] [client 179.220.124.205] File does not exist: /var/www/html/cgi
[Tue Apr 04 12:57:33 2017] [error] [client 189.122.217.115] File does not exist: /var/www/html/stssys.htm
[Tue Apr 04 12:57:33 2017] [error] [client 179.220.124.205] File does not exist: /var/www/html/stssys.htm
[Tue Apr 04 12:57:34 2017] [error] [client 189.122.217.115] script '/var/www/html/command.php' not found or unable to stat
[Tue Apr 04 12:57:34 2017] [error] [client 179.220.124.205] script '/var/www/html/command.php' not found or unable to stat
[Tue Apr 04 14:07:11 2017] [error] [client 35.20.9.203] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 14:07:11 2017] [error] [client 35.20.9.203] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 14:07:11 2017] [error] [client 35.20.9.203] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 14:07:11 2017] [error] [client 35.20.9.203] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 14:07:11 2017] [error] [client 35.20.9.203] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 14:07:11 2017] [error] [client 35.20.9.203] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 14:07:11 2017] [error] [client 35.20.9.203] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 14:07:11 2017] [error] [client 35.20.9.203] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 14:07:12 2017] [error] [client 35.20.9.203] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 14:07:12 2017] [error] [client 35.20.9.203] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 14:07:12 2017] [error] [client 35.20.9.203] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 14:07:12 2017] [error] [client 35.20.9.203] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 14:24:18 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 14:24:18 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 14:24:18 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 14:24:18 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 14:24:18 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 14:24:19 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 14:24:19 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 14:24:19 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 14:24:19 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 14:24:19 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 14:24:19 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 14:24:20 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 14:50:23 2017] [error] [client 99.70.234.93] File does not exist: /var/www/html/favicon.ico, referer: http://gratiaweb.grid.iu.edu/gratia/xml/glidein_hours_bar_smry?probe=condor:glidein.unl.edu
