#RecordID,ResourceType,ProbeName,Raw_SiteName,Host_description,Host,ResourceGroup,OIM_SiteName,SuccessfulMatch#
submit-3.chtc.wisc.edu:886433.314,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e266.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2577642.1171,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e042.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:886433.312,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e437.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2577642.1173,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e451.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1036262.2486,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,opt-a007.discovery.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:3887219.3659,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e108.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:3730514.8384,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e103.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:778209.1448,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e409.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:3336452.2592,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e240.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:3336452.2595,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,aci-123.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:262450.1989,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e097.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:833751.658,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e319.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:791855.1677,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,c020.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:1367666.26640,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e138.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:1069036.1838,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e300.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2577642.1280,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e457.chtc.wisc.edu (primary) ,,,Failure
sub-simprod.icecube.wisc.edu:22977.13,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,e149.chtc.wisc.edu,e149.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:3365650.436,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,pc-c220m4-r01-17.wisc.cloudlab.us (primary) ,,,Failure
